game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
SAFECRACKER: THE ULTIMATE PUZZLE ADVENTURE,60,"Adventure,Casual",0,1,1,0,0,0,0,0,0,0,0,0,0,0
PAINKILLER OVERDOSE,76,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZUMA DELUXE,92,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE DELUXE,94,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE EXTREME,92,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE™ NIGHTS,94,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PLANTS VS. ZOMBIES GOTY EDITION,97,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZUMA'S REVENGE!,94,"Action,Casual",1,0,1,0,0,0,0,0,0,0,0,0,0,0
SNIPER ELITE,76,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JUDGE DREDD: DREDD VS. DEATH,88,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EVIL GENIUS,95,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALIENS VERSUS PREDATOR CLASSIC 2000,87,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOODRAYNE,77,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOODRAYNE 2,72,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PSYCHONAUTS,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SID MEIER'S CIVILIZATION® IV,92,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SID MEIER'S CIVILIZATION® III COMPLETE,86,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SID MEIER'S PIRATES!,93,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CIVCITY: ROME,74,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CIVILIZATION IV®: WARLORDS,86,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GARRY'S MOD,96,"Indie,Simulation",0,0,0,0,0,0,1,0,0,0,1,0,0,0
RACE - THE WTCC GAME,73,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S.T.A.L.K.E.R.: SHADOW OF CHERNOBYL,95,"Action,RPG",1,0,0,0,0,0,0,0,1,0,0,0,0,0
FULL SPECTRUM WARRIOR,64,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
COMPANY OF HEROES - LEGACY EDITION,94,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"WARHAMMER® 40,000: DAWN OF WAR® - GAME OF THE YEAR EDITION",94,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
