,name,percent_positive_reviews
2064,Dofus,72.0
2065,Duskers,89.0
2066,Pool Nation,90.0
2067,Obscure,93.0
2068,Obscure II (Obscure: The Aftermath),80.0
2069,Theme Park Studio,48.0
2070,resident evil 4 / biohazard 4,84.0
2074,MoonBase Commander,91.0
2076,Silent Storm Gold Edition,90.0
2077,Abyss Odyssey,62.0
2078,GRID Autosport,76.0
2079,Pro Cycling Manager 2014,66.0
2080,1954 Alcatraz,73.0
2081,Journey of a Roach,88.0
2082,Edna & Harvey: The Breakout,83.0
2083,Escape Goat 2,97.0
2084,KickBeat Steam Edition,65.0
2085,Max: The Curse of Brotherhood,95.0
2086,Magic 2015 - Duels of the Planeswalkers,44.0
2087,Cities: Skylines,92.0
2088,PixelJunk™ Shooter,90.0
2091,Jagged Alliance Flashback,46.0
2092,Shadows: Heretic Kingdoms,63.0
2093,Truck Racer,74.0
2094,Enemy Front,63.0
2095,Child of Light,93.0
2096,WRC 4 FIA World Rally Championship,64.0
2097,MXGP - The Official Motocross Videogame,78.0
2098,MotoGP™14,48.0
2099,Cosmic Star Heroine,90.0
2100,Project Nimbus,87.0
2101,Darkout,51.0
2102,Not The Robots,80.0
2103,Rebuild 3: Gangs of Deadsville,85.0
2106,Baldur's Gate II: Enhanced Edition,86.0
2107,The Talos Principle,96.0
2108,Blast Em!,47.0
2109,Elder Sign: Omens,78.0
2110,J.U.L.I.A.: Among the Stars,86.0
2111,Max Gentlemen,87.0
2112,Infinity Wars: Animated Trading Card Game,79.0
2113,Bloody Trapland,83.0
2115,Riptide GP2,88.0
2116,Violett Remastered,63.0
2117,Hyper Light Drifter,94.0
2119,Loren The Amazon Princess,81.0
2120,Oozi: Earth Adventure,85.0
2121,Ring Runner: Flight of the Sages,84.0
2122,Survivor Squad,67.0
2124,99 Spirits,59.0
2125,Deus Ex: The Fall,32.0
2126,Talisman: Prologue,57.0
2127,Blood Knights,61.0
2128,The Vanishing of Ethan Carter,89.0
2129,Adventure Time: Finn and Jake's Epic Quest,75.0
2130,Scania Truck Driving Simulator,77.0
2131,Professional Farmer 2014,45.0
2132,Type:Rider,80.0
2133,Citizens of Earth,78.0
2134,Montague's Mount,59.0
2135,Gauntlet™ Slayer Edition,78.0
2136,Dragon's Prophet,69.0
2137,Dominions 4: Thrones of Ascension,91.0
2138,Just Cause 2: Multiplayer Mod,92.0
2139,Wasteland 1 - The Original Classic,79.0
2140,Alone in the Dark,40.0
2141,Alone in the Dark: The New Nightmare,59.0
2142,Heli Heroes,46.0
2143,Chicken Shoot Gold,56.0
2144,Ballpoint Universe - Infinite,77.0
2145,Sneaky Sneaky,89.0
2146,Drifter,64.0
2148,Shufflepuck Cantina Deluxe,85.0
2149,Hero of the Kingdom,93.0
2150,EDEN STAR,75.0
2151,Finding Teddy,83.0
2152,3079 -- Block Action RPG,50.0
2154,Void Destroyer,64.0
2155,Tales of Maj'Eyal,95.0
2156,Fading Hearts,67.0
2157,Nightmares from the Deep: The Cursed Heart,93.0
2158,Home Sheep Home 2,95.0
2160,OMG Zombies!,80.0
2171,Agarest: Generations of War Zero,76.0
2172,The Last Tinker™: City of Colors,82.0
2173,Marc Eckō's Getting Up: Contents Under Pressure,92.0
2174,Assassin’s Creed® Liberation HD,58.0
2175,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,96.0
2176,Blood of the Werewolf,61.0
2177,Shadows: Price For Our Sins Bonus Edition,58.0
2178,Flockers™,76.0
2180,Get Off My Lawn!,74.0
2181,The Four Kings Casino and Slots,68.0
2184,Gray Matter,90.0
2185,Cold War,63.0
2186,Dark Fall: The Journal,74.0
2188,Desperados: Wanted Dead or Alive,77.0
2189,Neighbours from Hell Compilation,97.0
2190,1001 Spikes,82.0
2191,Emergency 2014,54.0
2192,Killer is Dead - Nightmare Edition,76.0
2193,Lethal League,94.0
2195,Distant Worlds: Universe,77.0
2196,Bedlam,76.0
2197,Tesla Effect: A Tex Murphy Adventure,88.0
2198,Lifeless Planet Premier Edition,77.0
2199,Borderlands: The Pre-Sequel,77.0
2200,Journal,78.0
2201,Eryi's Action,88.0
2204,Lichdom: Battlemage,57.0
2205,Corporate Lifestyle Simulator,84.0
2210,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,90.0
2211,Darkest Dungeon®,86.0
2214,Toy Soldiers: Complete,75.0
2215,Vanguard Princess,72.0
2216,Zombeer,79.0
2217,Last Knight: Rogue Rider Edition,82.0
2218,SUGURI,87.0
2219,Jets'n'Guns Gold,88.0
2220,Dungeons 2,79.0
2222,Cloudbuilt,85.0
2223,World of Guns: Gun Disassembly,83.0
2224,Dead Man's Draw,86.0
2225,Rollers of the Realm,90.0
2226,Manga Maker Comipo,77.0
2228,Gunman Clive,88.0
2229,Chuck's Challenge 3D,86.0
2232,Little Racers STREET,83.0
2233,GoD Factory: Wingmen,69.0
2234,Freedom Fall,93.0
2235,Our Darker Purpose,81.0
2237,Crimsonland,90.0
2238,The Journey Down: Chapter Two,96.0
2240,Smooth Operators,73.0
2242,Broken Sword 5 - the Serpent's Curse,88.0
2243,Castle In The Darkness,79.0
2245,STARWHAL,90.0
2247,Blockstorm,81.0
2248,Pixel Boy and the Ever Expanding Dungeon,68.0
2249,9.03m,83.0
2253,Signs of Life,78.0
2254,Spintires®: The Original Game,85.0
2255,BlazBlue: Calamity Trigger,86.0
2256,Saturday Morning RPG,80.0
2258,3089 -- Futuristic Action RPG,72.0
2259,Driftmoon,90.0
2260,War of the Human Tanks,87.0
2261,Probably Archery,46.0
2262,Girls Like Robots,72.0
2264,Dragons and Titans,77.0
2266,Villagers and Heroes,56.0
2267,Paper Sorcerer,81.0
2269,Mitsurugi Kamui Hikae,82.0
2271,Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,53.0
2272,Muffin Knight,77.0
2273,Brawlout,72.0
2274,FootLOL: Epic Fail League,85.0
2275,Turbo Dismount™,92.0
2277,EvilQuest,88.0
2278,SPACECOM,73.0
2279,Aqua Kitty - Milk Mine Defender,88.0
2280,Zombie Grinder,72.0
2283,Out There Somewhere,93.0
2284,Son of Nor,64.0
2286,Full Bore,85.0
2287,Vangers,85.0
2288,Victory: The Age of Racing,46.0
2289,WazHack,88.0
2290,One Finger Death Punch,98.0
2291,Mr. Bree+,87.0
2292,CONSORTIUM,72.0
2294,99 Levels To Hell,62.0
2295,Guns n Zombies,70.0
2297,Major Mayhem,84.0
2298,Narcissu 1st & 2nd,94.0
2303,Moebius: Empire Rising,75.0
2304,Platformines,67.0
2305,Quest for Infamy,85.0
2307,Subnautica,94.0
2308,Deadly 30,75.0
2309,FORCED SHOWDOWN,86.0
2310,Meridian: New World,50.0
2311,Acceleration of SUGURI X-Edition HD,83.0
2312,Viscera Cleanup Detail: Santa's Rampage,90.0
2314,Lords Of The Fallen™,60.0
2315,Gomo,75.0
2316,Grimind,68.0
2317,Even the Ocean,86.0
2318,Dead Rising 3 Apocalypse Edition,70.0
2319,The Red Solstice,73.0
2320,Epic Battle Fantasy 4,96.0
2321,Fistful of Frags,91.0
2322,Imagine Me,32.0
2323,NaissanceE,78.0
2325,Secret Ponchos,72.0
2326,Cannons Lasers Rockets,25.0
2328,The Sandbox,59.0
2329,Monochroma,75.0
2330,Alpha Kimori™ 1,59.0
2331,Hexcells,96.0
2332,Goat Simulator,89.0
2333,Ether One,75.0
2334,Worlds of Magic,48.0
2335,Rogue's Tale,68.0
2336,LYNE,96.0
2337,DRAKERZ-Confrontation,51.0
2340,Tower of Guns,82.0
2341,Breach & Clear,82.0
2342,Lost Saga NA,60.0
2343,Windforge,67.0
2345,One Way Heroics,94.0
2346,Last Dream,85.0
2350,GameGuru,74.0
2351,Ethan: Meteor Hunter,63.0
2353,Farm for your Life,80.0
2354,iRacing,84.0
2355,Anarchy Arcade,69.0
2356,Lili: Child of Geos - Complete Edition,87.0
2357,Hand of Fate,91.0
2358,Age of Mythology: Extended Edition,86.0
2360,Gravity Badgers,62.0
2361,Star Swarm Stress Test,90.0
2363,Beware Planet Earth,69.0
2364,MURI,91.0
2365,Batman™: Arkham Origins Blackgate - Deluxe Edition,39.0
2366,The LEGO® Movie - Videogame,83.0
2367,Airport Simulator 2014,15.0
2368,Woodcutter Simulator 2013,27.0
2371,Guilty Gear Isuka,51.0
2372,Gun Metal,77.0
2373,Glacier 3: The Meltdown,26.0
2375,Hostile Waters: Antaeus Rising,73.0
2376,The Evil Within,82.0
2377,Heat Signature,94.0
2378,Antisquad,55.0
2379,Meltdown,86.0
2380,Mechanic Escape,87.0
2382,Grapple,92.0
2384,Krautscape,69.0
2385,Panzer Corps,92.0
2386,Aura Kingdom,79.0
2387,XCOM® 2,80.0
2389,The Whispered World Special Edition,74.0
2390,From the Depths,88.0
2391,The Memory of Eldurim,48.0
2392,Magicite,85.0
2393,Treasure Adventure World,89.0
2394,Paranormal State: Poison Spring,76.0
2395,EVGA Precision XOC,75.0
2396,Satellite Reign,69.0
2397,Masters of the World - Geopolitical Simulator 3,44.0
2398,Cuphead,96.0
2401,The Dishwasher: Vampire Smile,95.0
2403,The Yawhg,80.0
2404,Year Walk,91.0
2405,Super Motherload,77.0
2406,Luxuria Superbia,73.0
2407,Sports Bar VR,90.0
2408,Edge Of Eternity,82.0
2409,Hero Siege,79.0
2410,Aces Wild: Manic Brawling Action!,81.0
2411,WORLD END ECONOMiCA episode.01,85.0
2412,LOVE,91.0
2413,liteCam Game: 100 FPS Game Capture,51.0
2414,Infectonator: Survivors,67.0
2415,Chronology,87.0
2417,Reaper - Tale of a Pale Swordsman,67.0
2419,MorphVOX Pro - Voice Changer,56.0
2420,Bardbarian,89.0
2424,Arcane Worlds,54.0
2426,Dex,87.0
2427,BADLAND: Game of the Year Edition,84.0
2428,RymdResa,79.0
2429,Tumblestone,78.0
2430,The Golf Club,63.0
2431,Secrets of Grindea,93.0
2432,DreadOut,76.0
2433,Spate,72.0
2434,AR-K,59.0
2435,X-Plane 11,82.0
2437,Time Rifters,88.0
2439,Quest of Dungeons,77.0
2441,//N.P.P.D. RUSH//- The milk of Ultraviolet,33.0
2442,Block Story™,65.0
2443,The Gallery - Episode 1: Call of the Starseed,86.0
2444,RUNNING WITH RIFLES,88.0
2445,Depression Quest,58.0
2446,1HEART,62.0
2447,Melody's Escape,93.0
2449,Frozen State,69.0
2450,Dominique Pamplemousse,73.0
2454,Robot Roller-Derby Disco Dodgeball,92.0
2455,The Forest of Doom (Standalone),81.0
2457,Yet Another Zombie Defense,87.0
2458,Reversion - The Escape (1st Chapter),77.0
2461,Haunt the House: Terrortown,83.0
2465,Etherlords II,81.0
2466,Jones On Fire,65.0
2468,Car Mechanic Simulator 2014,82.0
2469,American Truck Simulator,92.0
2470,Worms World Party Remastered,52.0
2471,Ski Region Simulator - Gold Edition,75.0
2472,Offworld Trading Company - Free Multiplayer,74.0
2473,Industry Giant 2,81.0
2474,Transport Giant,47.0
2475,Sniper Art of Victory,29.0
2476,Tribloos 2,83.0
2477,Space Farmers,74.0
2478,Grand Theft Auto V,70.0
2479,Humanity Asset,32.0
2480,10 Second Ninja,86.0
2481,Light,58.0
2482,Dungeon Lords Steam Edition,73.0
2483,Card City Nights,90.0
2484,Super Killer Hornet: Resurrection,65.0
2485,Hexcells Plus,94.0
2486,Worlds Adrift Island Creator,86.0
2487,Hero and Daughter+,89.0
2490,KAMI,96.0
2491,Serena,77.0
2492,Torment: Tides of Numenera,69.0
2493,Shadow Blade: Reload,87.0
2494,The Incredible Adventures of Van Helsing II,67.0
2495,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,81.0
2496,Detective Grimoire,95.0
2497,Serious Sam's Bogus Detour,85.0
2498,Vertiginous Golf,59.0
2499,GAUGE,68.0
2501,The Last Federation,75.0
2502,Counter-Strike Nexon: Zombies,65.0
2503,Over 9000 Zombies!,85.0
2504,Descent,96.0
2507,Descent: FreeSpace – The Great War,80.0
2508,Freespace 2,73.0
2511,Formula Truck 2013,77.0
2518,Stock Car Extreme,86.0
2525,Hotline Miami 2: Wrong Number,92.0
2526,Broforce,97.0
2527,RONIN,69.0
2528,OlliOlli,79.0
2529,NOT A HERO,87.0
2530,Gods Will Be Watching,71.0
2531,Always Sometimes Monsters,75.0
2532,Dropsy,94.0
2533,Drox Operative,90.0
2534,Brigador: Up-Armored Edition,93.0
2535,Darkwood,94.0
2536,Revolution Ace,73.0
2539,Murder Miners,84.0
2540,FaceRig,83.0
2541,Depth,87.0
2543,Influent,74.0
2545,Post Master,43.0
2546,Shelter 2,83.0
2547,Costume Quest 2,87.0
2548,Westerado: Double Barreled,92.0
2549,Graviteam Tactics: Operation Star,81.0
2553,Guacamelee! Super Turbo Championship Edition,93.0
2554,Chip,85.0
2555,Canyon Capers,44.0
2557,Z,73.0
2558,Summoner,83.0
2559,"Warhammer 40,000: Kill Team",55.0
2560,Space Run,86.0
2563,No Man's Sky,53.0
2575,Mordheim: City of the Damned,69.0
2576,Dwelvers,70.0
2577,FATE: Undiscovered Realms,72.0
2578,Return to Mysterious Island,80.0
2580,VIDEOBALL,85.0
2581,Halo: Spartan Assault,80.0
2582,Imperial Glory,78.0
2583,Praetorians,77.0
2584,The Book of Legends,71.0
2585,Battle Group 2,83.0
2588,Albedo: Eyes from Outer Space,55.0
2591,Assassin's Creed Freedom Cry,74.0
2594,"About Love, Hate and the other ones",90.0
2595,On Rusty Trails,91.0
2597,Diehard Dungeon,75.0
2598,Shantae: Risky's Revenge - Director's Cut,87.0
2600,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,81.0
2601,"RIVE: Wreck, Hack, Die, Retry!",86.0
2602,A Story About My Uncle,92.0
2604,0RBITALIS,73.0
2605,Skyborn,88.0
2608,3 Stars of Destiny,58.0
2610,Labyrinthine Dreams,80.0
2612,TinyKeep,67.0
2613,Terrian Saga: KR-17,74.0
2616,Angvik,89.0
2617,GIGANTIC ARMY,77.0
2618,Digger Online,45.0
2620,Making History: The Great War,74.0
2621,Ultionus: A Tale of Petty Revenge,65.0
2622,Richard & Alice,73.0
2624,Joe Dever's Lone Wolf HD Remastered,75.0
2629,Pretentious Game,78.0
2632,The Troma Project,49.0
2633,The I of the Dragon,62.0
2635,Grim Legends 2: Song of the Dark Swan,97.0
2636,Soul Axiom,68.0
2638,The Book of Unwritten Tales 2,92.0
2639,Bridge Constructor Playground,67.0
2640,Gunjitsu,80.0
2641,A Wizard's Lizard,69.0
2642,Millennium - A New Hope,75.0
2643,Aragami,89.0
2644,Hover,81.0
2646,Creeper World 3: Arc Eternal,96.0
2647,Adventurer Manager,61.0
2651,Crea,80.0
2652,GhostControl Inc.,72.0
2653,Danmaku Unlimited 2,95.0
2654,BloodLust Shadowhunter,80.0
2656,Krita,76.0
2657,Imagine Earth,80.0
2658,Creativerse,80.0
2659,Foosball - Street Edition,71.0
2661,Battlepillars Gold Edition,87.0
2663,A Boy and His Blob,68.0
2664,BloodRayne Betrayal,62.0
2667,Mashed,79.0
2669,Real Horror Stories Ultimate Edition,40.0
2671,Ubersoldier II,73.0
2673,Disciples Sacred Lands Gold,80.0
2676,Homeworld: Deserts of Kharak,79.0
2677,The Banner Saga 2,91.0
2678,Munin,83.0
2681,RefleX,88.0
2682,Splatter - Zombie Apocalypse,90.0
2683,Woolfe - The Red Hood Diaries,59.0
2684,Stellaris,78.0
2685,Carmageddon Max Pack,91.0
2686,Carmageddon 2: Carpocalypse Now,91.0
2687,MX vs. ATV Supercross Encore,50.0
2688,This War of Mine,95.0
2689,Fearless Fantasy,80.0
2690,SOMA,96.0
2691,Sid Meier's Starships,45.0
2692,SuperPower 2 Steam Edition,79.0
2693,Quake Live™,84.0
2694,Castlevania: Lords of Shadow – Mirror of Fate HD,82.0
2695,RollerCoaster Tycoon World™,25.0
2696,Star Ruler 2,80.0
2699,Easy™ eSports,70.0
2701,Circuits,90.0
2703,100% Orange Juice,93.0
2705,FaeVerse Alchemy,67.0
2706,Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1,95.0
2710,Lucent Heart,48.0
2711,Super Chibi Knight,87.0
2713,House of the Dying Sun,90.0
2714,The Samaritan Paradox,75.0
2715,Spoiler Alert,75.0
2717,Nosferatu: The Wrath of Malachi,86.0
2721,Marine Sharpshooter II: Jungle Warfare,32.0
2722,Incoming Forces,55.0
2723,CT Special Forces: Fire for Effect,53.0
2724,Litil Divil,47.0
2731,World of Subways 3 – London Underground Circle Line,71.0
2732,Salt and Sanctuary,92.0
2733,Rabbit Hole 3D: Steam Edition,63.0
2734,Astebreed: Definitive Edition,90.0
2735,KAMUI,92.0
2737,Heroine's Quest: The Herald of Ragnarok,88.0
2738,Putt-Putt® Joins the Parade,92.0
2739,Freddi Fish and the Case of the Missing Kelp Seeds,96.0
2740,Pajama Sam: No Need to Hide When It's Dark Outside,98.0
2741,"Spy Fox in ""Dry Cereal""",95.0
2744,Sanitarium,95.0
2747,BeamNG.drive,91.0
2751,Maize,77.0
2752,PANORAMICAL,89.0
2753,The Last Door - Collector's Edition,95.0
2755,DeadCore,86.0
2756,Abyss: The Wraiths of Eden,90.0
2757,Dark Arcana: The Carnival,90.0
2758,Enigmatis: The Ghosts of Maple Creek,84.0
2759,Enigmatis 2: The Mists of Ravenwood,98.0
2760,Nightmares from the Deep 2: The Siren`s Call,96.0
2761,Nightmares from the Deep 3: Davy Jones,96.0
2762,Clockwork Tales: Of Glass and Ink,91.0
2763,Grim Legends: The Forsaken Bride,96.0
2764,9 Clues: The Secret of Serpent Creek,90.0
2765,Left in the Dark: No One on Board,84.0
2767,Speed Kills,50.0
2768,Pixel Puzzles: Japan,82.0
2770,Solarix,64.0
2771,Pixel Puzzles: UndeadZ,75.0
2772,Robowars,45.0
2773,GearCity,83.0
2774,Battleplan: American Civil War,50.0
2775,"Warhammer 40,000: Dawn of War III",45.0
2776,RollerCoaster Tycoon®: Deluxe,93.0
2777,RollerCoaster Tycoon® 2: Triple Thrill Pack,86.0
2779,On The Road,57.0
2781,Crimzon Clover WORLD IGNITION,95.0
2782,The Entente Gold,43.0
2783,Hard Truck Apocalypse / Ex Machina,80.0
2786,Kitty Powers' Matchmaker,94.0
2787,Braveland,83.0
2788,Action Henk,89.0
2789,Enemy Mind,86.0
2790,Gang Beasts,70.0
2791,TerraTech,82.0
2793,Tooth and Tail,78.0
2794,Dead Effect,72.0
2795,You Have to Win the Game,93.0
2796,QuestRun,54.0
2797,Eidolon,62.0
2798,Tabletop Simulator,94.0
2799,ReignMaker,66.0
2801,Dog Sled Saga,92.0
2802,fault - milestone one,94.0
2803,Steel Armor: Blaze of War,81.0
2805,Oknytt,92.0
2806,FarSky,72.0
2807,Shadows on the Vatican Act I: Greed,75.0
2808,Strata,89.0
2810,Black Mirror II,91.0
2811,Black Mirror III,90.0
2813,Nearwood - Collector's Edition,91.0
2814,F1 2015,58.0
2815,Avoid - Sensory Overload,86.0
2816,Metro 2033 Redux,79.0
2819,Shadow Ops: Red Mercury,83.0
2821,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,73.0
2825,S.K.I.L.L. - Special Force 2 (Shooter),67.0
2826,Harvester,91.0
2827,Battle Academy,85.0
2828,Chaos Domain,30.0
2829,Ionball 2: Ionstorm,73.0
2830,Wildlife Park 3,52.0
2831,Autocraft,58.0
2832,Toybox Turbos,85.0
2833,Resident Evil Revelations 2 / Biohazard Revelations 2,77.0
2834,Metro: Last Light Redux,80.0
2835,Rise of Nations: Extended Edition,92.0
2836,Pandora: First Contact,64.0
2837,Sunset,69.0
2838,The Council,85.0
2839,METAL GEAR SOLID V: THE PHANTOM PAIN,89.0
2843,TY the Tasmanian Tiger 4,83.0
2844,8-Bit Commando,55.0
2845,Pro Pinball Ultra,82.0
2846,Mortal Online,51.0
2848,Mini Metro,96.0
2850,Rex Rocket,78.0
2851,Actual Sunlight,77.0
2852,Whispering Willows,82.0
2854,Dungeonmans,92.0
2855,Jack Nicklaus Perfect Golf,61.0
2856,The Room,97.0
2857,Backstage Pass,90.0
2858,Conflicks - Revolutionary Space Battles,70.0
2860,Strike Suit Zero: Director's Cut,79.0
2861,Fable Anniversary,78.0
2874,Pineview Drive,64.0
2875,The Charnel House Trilogy,83.0
2878,Sid Meier’s Civilization® VI,68.0
2879,Ampu-Tea,63.0
2880,Endless Legend™,83.0
2881,A.I.M.2 Clan Wars,77.0
2882,Ascension to the Throne,87.0
2885,Dreamscapes: The Sandman - Premium Edition,82.0
2886,El Matador,66.0
2887,Faces of War,86.0
2889,Freight Tycoon Inc.,62.0
2892,Parkan 2,67.0
2893,Planet Alcatraz,85.0
2895,RC Cars,74.0
2898,King's Bounty: Dark Side,69.0
2900,Marauder,66.0
2901,Collapse,72.0
2902,Assassin's Creed® Unity,63.0
2903,LARA CROFT AND THE TEMPLE OF OSIRIS™,56.0
2904,ROCKETSROCKETSROCKETS,79.0
2908,"7,62 High Calibre",78.0
2909,TransOcean: The Shipping Company,68.0
2910,Construction Simulator 2015,74.0
2911,DubWars,78.0
2912,LogicBots,81.0
2913,Retro Game Crunch,81.0
2914,Glitchspace,75.0
2915,Life is Feudal: Your Own,64.0
2916,Sokobond,92.0
2917,Volt,67.0
2918,Rebel Galaxy,85.0
2920,Armello,80.0
2921,Micron,97.0
2924,Onigiri,63.0
2925,The Flock,41.0
2926,GNOG,96.0
2927,Clandestine,79.0
2929,My Lands: Black Gem Hunting,85.0
2930,The Fall,88.0
2931,Grey Goo,68.0
2934,You Must Build A Boat,82.0
2935,1849,70.0
2937,Always Remember Me,59.0
2940,Akane the Kunoichi,48.0
2941,Royal Defense,73.0
2942,Heroes of Steel RPG,79.0
2946,Final Slam 2,22.0
2948,Duelyst,81.0
2951,Warface,69.0
2952,Brawlhalla,83.0
2954,Mirror Mysteries,77.0
2956,Pillars of Eternity,86.0
2958,The Lost Crown,79.0
2960,Pit People®,94.0
2961,Firefighters 2014,55.0
2964,The Witcher® 3: Wild Hunt,98.0
2967,FINAL FANTASY® XIII,72.0
2968,FINAL FANTASY® XIII-2,61.0
2970,Crazy Plant Shop,74.0
2971,Game Character Hub,70.0
2976,Starship Corporation,54.0
2977,DarkEnd,54.0
2978,Racer 8,45.0
2979,Realms of the Haunting,75.0
2980,Unrest,71.0
2981,Street Racing Syndicate,82.0
2983,Magical Battle Festa,67.0
2984,Kero Blaster,93.0
2985,Chompy Chomp Chomp,69.0
2986,Duet,94.0
2987,Pressured,51.0
2988,Uriel's Chasm,17.0
2991,Call of Duty®: Infinite Warfare,43.0
2993,Pajama Sam 2: Thunder And Lightning Aren't So Frightening,97.0
2994,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,97.0
2999,Deponia: The Complete Journey,88.0
3000,Black Mirror I,78.0
3001,NOBUNAGA'S AMBITION: Souzou (Traditional Chinese version),85.0
3002,AntharioN,67.0
3003,Overcast - Walden and the Werewolf,60.0
3005,H-Hour: World's Elite,56.0
3006,Cosmochoria,90.0
3007,Card Hunter,86.0
3008,Coma: Mortuary,54.0
3012,Elliot Quest,75.0
3015,Carnivores: Dinosaur Hunter Reborn,70.0
3016,Guns and Robots,65.0
3018,TRI: Of Friendship and Madness,89.0
3019,Cinders,89.0
3021,Road Not Taken,83.0
3022,Automation - The Car Company Tycoon Game,84.0
3023,Crawl,96.0
3024,Cult of the Wind,51.0
3025,White Noise Online,62.0
3026,Dark Scavenger,87.0
3027,Pivvot,92.0
3029,Kill The Bad Guy,64.0
3032,Knight Squad,86.0
3033,Merchants of Kaidan,68.0
3034,Loot Hero DX,74.0
3036,RimWorld,98.0
3037,They Breathe,83.0
3038,Galcon 2: Galactic Conquest,85.0
3040,Millie,82.0
3042,Crowntakers,76.0
3044,Shadowgate,88.0
3045,Fenix Rage,84.0
3046,Freddi Fish 2: The Case of the Haunted Schoolhouse,97.0
3047,Freddi Fish 3: The Case of the Stolen Conch Shell,94.0
3051,Wars and Warriors: Joan of Arc,93.0
3053,Putt-Putt® Saves The Zoo,96.0
3054,Putt-Putt® Travels Through Time,90.0
3061,Anomaly Defenders,80.0
3064,BlazBlue: Continuum Shift Extend,92.0
3066,Valkyria Chronicles™,91.0
3067,Stranded,31.0
3069,Royal Quest,68.0
3070,Hero Generations,56.0
3074,Hive Jump,74.0
3075,PARTICLE MACE,89.0
3076,Darkwind: War on Wheels,44.0
3077,Sweezy Gunner,83.0
3078,The Floor is Jelly,82.0
3079,Rogue Shooter: The FPS Roguelike,75.0
3080,Never Alone (Kisima Ingitchuna),81.0
3081,Vlad the Impaler,70.0
3084,Swipecart,46.0
3085,新流星搜劍錄,67.0
3089,Battlepaths,69.0
3090,MIND: Path to Thalamus Enhanced Edition,68.0
3094,Farm Frenzy 4,80.0
3095,The Promised Land,84.0
3097,Ballistic Overkill,76.0
3098,Mount Your Friends,95.0
3099,GemCraft - Chasing Shadows,96.0
3103,Lords of Xulima,83.0
3105,Kraven Manor,73.0
3107,Monstrum,90.0
3108,Viktor,74.0
3109,Real Boxing™,62.0
3111,Lucius II,59.0
3113,Dreaming Sarah,91.0
3115,8BitBoy™,74.0
3116,Ascendant,78.0
3117,Renowned Explorers: International Society,93.0
3118,Heroes® of Might & Magic® III - HD Edition,68.0
3119,The Culling Of The Cows,74.0
3120,Freaking Meatbags,89.0
3124,Cosmic DJ,88.0
3125,Heavy Bullets,84.0
3126,Titan Souls,78.0
3127,Famaze,79.0
3128,Detective Case and Clown Bot in: Murder in the Hotel Lisbon,81.0
3131,The Old City: Leviathan,73.0
3132,Hero of Many,90.0
3135,Xsyon - Prelude,74.0
3136,Spy Chameleon - RGB Agent,89.0
3140,Corpse of Discovery,65.0
3142,Close Combat - Gateway to Caen,63.0
3143,Qvadriga,81.0
3144,Split/Second,78.0
3145,Space Colony: Steam Edition,73.0
3147,Total Annihilation,96.0
3148,Master of Orion,70.0
3149,Far Cry® 4,78.0
3151,Eldevin,78.0
3152,The Desolate Hope,92.0
3154,Red Crucible®: Firestorm,59.0
3155,Only If,64.0
3156,XenoRaptor,89.0
3157,FLASHOUT 2,59.0
3158,Immortal Defense,94.0
3160,Knightmare Tower,93.0
3162,Victory At Sea,75.0
3163,Orbital Gear,83.0
3164,Captain Forever Remix,82.0
3165,Lovely Planet,92.0
3166,Ylands,69.0
3167,The Escapists,89.0
3173,Darkness Within 1: In Pursuit of Loath Nolder,76.0
3176,Blood: One Unit Whole Blood,90.0
3177,Blood II: The Chosen + Expansion,52.0
3178,Warrior Kings: Battles,92.0
3181,Theatre Of The Absurd,81.0
3186,European Ship Simulator,41.0
3187,Commando Jack,51.0
3189,Block N Load,77.0
3191,XING: The Land Beyond,88.0
3192,CubeGun,63.0
3194,Woodle Tree Adventures,67.0
3195,Rogue Stormers,70.0
3196,International Snooker,60.0
3197,Heroes Rise: The Prodigy,86.0
3199,Dragon Fin Soup,61.0
3200,6180 the moon,91.0
3201,Tengami,80.0
3202,Terrorhedron Tower Defense,84.0
3203,Miscreated,69.0
3204,Noir Syndrome,66.0
3209,GET EVEN,80.0
3210,Divine Souls F2P MMO,49.0
3211,ADR1FT,56.0
3212,Total War Battles: KINGDOM,51.0
3214,Victim of Xen,62.0
3215,Planetoid Pioneers,69.0
3217,Ichi,90.0
3219,Lemma,87.0
3221,Road Redemption,82.0
3225,Shadowrun: Dragonfall - Director's Cut,90.0
3226,Infinifactory,94.0
3227,GALAK-Z,74.0
3228,Pure Pool,50.0
3232,Disney•Pixar Toy Story 3: The Video Game,53.0
3237,Eastside Hockey Manager,84.0
3238,The Treasures of Montezuma 4,85.0
3239,Frederic: Resurrection of Music,85.0
3240,Frederic: Evil Strikes Back,84.0
3244,Chicken Invaders 4,98.0
3245,NoLimits 2 Roller Coaster Simulation,90.0
