game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
CALL OF DUTY: UNITED OFFENSIVE,83.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACT OF WAR: DIRECT ACTION,85.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMA: COMBAT OPERATIONS,65.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
X2: THE THREAT,81.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X3: REUNION,71.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X3: TERRAN CONFLICT,86.0,"Action,Simulation,Strategy",1,0,0,0,0,0,0,0,0,0,1,0,1,0
FLEET COMMAND,80.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FLATOUT 2™,94.0,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CALL OF JUAREZ™,80.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KING'S BOUNTY: ARMORED PRINCESS,90.0,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
SAFECRACKER: THE ULTIMATE PUZZLE ADVENTURE,60.0,"Adventure,Casual",0,1,1,0,0,0,0,0,0,0,0,0,0,0
PAINKILLER OVERDOSE,76.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZUMA DELUXE,92.0,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE DELUXE,94.0,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE EXTREME,92.0,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE™ NIGHTS,94.0,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PLANTS VS. ZOMBIES GOTY EDITION,97.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZUMA'S REVENGE!,94.0,"Action,Casual",1,0,1,0,0,0,0,0,0,0,0,0,0,0
SNIPER ELITE,76.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JUDGE DREDD: DREDD VS. DEATH,88.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EVIL GENIUS,95.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALIENS VERSUS PREDATOR CLASSIC 2000,87.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOODRAYNE,77.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOODRAYNE 2,72.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PSYCHONAUTS,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SID MEIER'S CIVILIZATION® IV,92.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SID MEIER'S CIVILIZATION® III COMPLETE,86.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SID MEIER'S PIRATES!,93.0,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CIVCITY: ROME,74.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CIVILIZATION IV®: WARLORDS,86.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GARRY'S MOD,96.0,"Indie,Simulation",0,0,0,0,0,0,1,0,0,0,1,0,0,0
RACE - THE WTCC GAME,73.0,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S.T.A.L.K.E.R.: SHADOW OF CHERNOBYL,95.0,"Action,RPG",1,0,0,0,0,0,0,0,1,0,0,0,0,0
FULL SPECTRUM WARRIOR,64.0,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
COMPANY OF HEROES - LEGACY EDITION,94.0,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"WARHAMMER® 40,000: DAWN OF WAR® - GAME OF THE YEAR EDITION",94.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"WARHAMMER® 40,000: DAWN OF WAR® - DARK CRUSADE",96.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TOTAL WAR: MEDIEVAL II – DEFINITIVE EDITION,94.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CONDEMNED: CRIMINAL ORIGINS,85.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ROME: TOTAL WAR™ - COLLECTION,93.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HEROES OF ANNIHILATED EMPIRES,85.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSSACKS: BACK TO WAR,88.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSSACKS: ART OF WAR,82.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSSACKS: EUROPEAN WARS,72.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSSACKS II: BATTLE FOR EUROPE,64.0,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZEN OF SUDOKU,88.0,"Casual,Indie",0,0,1,0,0,0,1,0,0,0,0,0,0,0
NATURAL SELECTION 2,85.0,"Action,Indie,Strategy",1,0,0,0,0,0,1,0,0,0,0,0,1,0
STAR WARS™ REPUBLIC COMMANDO™,94.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIANA JONES® AND THE FATE OF ATLANTIS™,95.0,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STAR WARS™ JEDI KNIGHT - JEDI ACADEMY™,95.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR WARS™ JEDI KNIGHT II - JEDI OUTCAST™,90.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAR WARS: BATTLEFRONT 2 (CLASSIC, 2005)",92.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THRILLVILLE®: OFF THE RAILS™,88.0,"Action,Adventure,Racing,Simulation,Strategy",1,1,0,0,0,0,0,0,0,1,1,0,1,0
